direction,direction_id,route_id,route_short_name,LineIdConst
WEST,1,6805,749,6805
EAST,0,7224,791,7224
WEST,1,7224,791,7224
NORTH,0,29040,840,29040
SOUTH,1,29040,840,29040
EAST,0,6754,855,6754
WEST,1,6754,855,6754
EAST,0,29039,864,29039
WEST,1,29039,864,29039
EAST,0,8289,865,8289
WEST,1,8289,865,8289
EAST,0,6761,880,6761
WEST,1,6761,880,6761
EAST,0,6762,881,6762
WEST,1,6762,881,6762
NORTH,0,6830,N10,6830
SOUTH,1,6830,N10,6830
NORTH,0,6831,N15,6831
SOUTH,1,6831,N15,6831
EAST,0,6833,N17,6833
WEST,1,6833,N17,6833
EAST,0,6834,N19,6834
WEST,1,6834,N19,6834
NORTH,0,6835,N20,6835
SOUTH,1,6835,N20,6835
NORTH,0,6836,N22,6836
SOUTH,1,6836,N22,6836
NORTH,0,6837,N24,6837
SOUTH,1,6837,N24,6837
EAST,0,6838,N35,6838
WEST,1,6838,N35,6838
EAST,0,6840,N8,6840
WEST,1,6840,N8,6840
EAST,0,6841,N9,6841
WEST,1,6841,N9,6841
NORTH,0,37808,R1,37808
SOUTH,1,37808,R1,37808
EAST,0,38311,R2,38311
WEST,1,38311,R2,38311
EAST,0,37809,R3,37809
WEST,1,37809,R3,37809
EAST,0,37810,R4,37810
WEST,1,37810,R4,37810
EAST,0,37807,R5,37807
WEST,1,37807,R5,37807
NORTH,0,46604,R6,46604
SOUTH,1,46604,R6,46604
